id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price,volume_24h,historical_trends,sentiment_score,macroeconomic_indicator
mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,3270.68,1417713597.0,84.0,1417713597.0,19992831.0,3498.82,3270.6,-149.79488041149943,-4.37936,-66017284.052178144,-4.44941,433410.9313667493,433410.9313667493,,4729.53,-30.63089,2024-03-27T05:26:27.333Z,2142.02,53.16553,2023-12-18T10:41:32.686Z,,2025-01-13T11:19:42.445Z,,10000000.0,45084.81769034627,0.5,1.0
binance-staked-sol,bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,181.75,1400935215.0,85.0,1400935215.0,8157088.0,196.45,181.74,-9.466491652748658,-4.95072,-75833821.80179739,-5.13512,7709631.789510796,7709631.789510796,,267.89,-31.68196,2024-11-23T15:05:53.758Z,127.32,43.74519,2024-09-18T15:30:14.531Z,,2025-01-13T11:19:34.175Z,,10000000.0,32815.53122765575,0.5,1.0
jasmycoin,jasmy,JasmyCoin,https://coin-images.coingecko.com/coins/images/13876/large/JASMY200x200.jpg?1696513620,0.02834596,1372437302.0,86.0,1417221502.0,97965957.0,0.03178904,0.02833877,-0.0028558901375206,-9.15295,-134611515.94271445,-8.93213,48419999999.3058,50000000000.0,50000000000.0,4.79,-99.40525,2021-02-16T03:53:32.207Z,0.00275026,935.87123,2022-12-29T20:41:09.113Z,,2025-01-13T11:19:41.138Z,,10000000.0,11773.233650426884,0.5,1.0
gala,gala,GALA,https://coin-images.coingecko.com/coins/images/12493/large/GALA_token_image_-_200PNG.png?1709725869,0.03150457,1336224800.0,87.0,1336225784.0,209584762.0,0.03580575,0.03151634,-0.0040534972408393,-11.39966,-166622196.1962695,-11.0871,42394284284.83909,42394315493.02892,50000000000.0,0.824837,-96.16322,2021-11-26T01:03:48.731Z,0.00013475,23385.93324,2020-12-28T08:46:48.367Z,,2025-01-13T11:19:40.046Z,,10000000.0,18805.159618429352,0.5,1.0
kucoin-shares,kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,10.68,1309408255.0,88.0,1522900792.0,199505.0,11.45,10.64,-0.673774233020735,-5.93668,-78682393.86728239,-5.66839,122665482.1460797,142665482.1460797,,28.83,-62.93027,2021-12-01T15:09:35.541Z,0.342863,3017.03469,2019-02-07T00:00:00.000Z,,2025-01-13T11:19:41.710Z,,10000000.0,32298.96230882672,0.5,1.0
lido-dao,ldo,Lido DAO,https://coin-images.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,1.44,1297184246.0,89.0,1447674398.0,115520702.0,1.6,1.45,-0.1294229879881359,-8.22179,-111983160.68228054,-7.94676,896046961.4578881,1000000000.0,1000000000.0,7.3,-80.06146,2021-08-20T08:35:20.158Z,0.40615,258.50963,2022-06-18T20:55:12.035Z,,2025-01-13T11:19:41.594Z,,10000000.0,47713.56817137142,0.5,1.0
the-sandbox,sand,The Sandbox,https://coin-images.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1696511971,0.527494,1293528953.0,90.0,1586595888.0,134001411.0,0.597412,0.528375,-0.0644506547732784,-10.88796,-151379783.71777654,-10.47677,2445857126.2233224,3000000000.0,3000000000.0,8.4,-93.65717,2021-11-25T06:04:40.957Z,0.02897764,1737.94835,2020-11-04T15:59:14.441Z,,2025-01-13T11:19:36.802Z,,10000000.0,11499.397597722002,0.5,1.0
raydium,ray,Raydium,https://coin-images.coingecko.com/coins/images/13928/large/PSigc4ie_400x400.jpg?1696513668,4.38,1274138084.0,91.0,2430987596.0,103770165.0,4.76,4.38,-0.0377165263098868,-0.85356,-6406290.44529438,-0.50028,290888623.959345,555000000.0,555000000.0,16.83,-73.9377,2021-09-12T20:20:23.998Z,0.134391,3164.37449,2022-12-29T22:15:53.927Z,,2025-01-13T11:19:34.464Z,,10000000.0,33904.078712521594,0.5,1.0
flare-networks,flr,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,0.02235388,1270426681.0,92.0,2299556560.0,12260502.0,0.02545168,0.02232684,-0.0025444629027967,-10.21941,-145064945.396065,-10.24838,56854576605.45716,102910554837.7917,,0.150073,-85.08945,2023-01-10T03:14:05.921Z,0.00827405,170.4443,2023-10-19T03:35:41.663Z,,2025-01-13T11:19:39.476Z,,10000000.0,36062.157719210474,0.5,1.0
jupiter-exchange-solana,jup,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,0.734759,1238573915.0,93.0,7344295142.0,77004193.0,0.820028,0.734605,-0.0688877275741487,-8.57189,-114127828.90691756,-8.43703,1686443547.605848,10000000000.0,10000000000.0,2.0,-63.11469,2024-01-31T15:02:47.304Z,0.457464,61.261,2024-02-21T18:31:05.083Z,,2025-01-13T11:19:41.284Z,,10000000.0,37289.10452792037,0.5,1.0
