time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,lag_1,lag_2,lag_3,lag_4,lag_5
2023-02-14T00:00:00.0000000Z,2023-02-15T00:00:00.0000000Z,2023-02-14T00:01:43.7280000Z,2023-02-14T23:59:13.8110000Z,1506.5,1568.8,1492.3,1556.6,12938.114595,8862,1506.4,1515.7,1538.9,1514.4,1545.6
2023-02-15T00:00:00.0000000Z,2023-02-16T00:00:00.0000000Z,2023-02-15T00:00:08.4230000Z,2023-02-15T23:59:52.8160000Z,1556.2,1680.9,1542.9,1675.3,9252.646031490003,8645,1556.6,1506.4,1515.7,1538.9,1514.4
2023-02-16T00:00:00.0000000Z,2023-02-17T00:00:00.0000000Z,2023-02-16T00:00:00.6420000Z,2023-02-16T23:59:54.1320000Z,1675.4,1742.0,1634.3,1638.3,12741.10834596,9528,1675.3,1556.6,1506.4,1515.7,1538.9
2023-02-17T00:00:00.0000000Z,2023-02-18T00:00:00.0000000Z,2023-02-17T00:00:14.7050000Z,2023-02-17T23:59:35.6490000Z,1638.3,1720.9,1632.5,1694.5,7891.703067310001,6773,1638.3,1675.3,1556.6,1506.4,1515.7
2023-02-18T00:00:00.0000000Z,2023-02-19T00:00:00.0000000Z,2023-02-18T00:01:44.0330000Z,2023-02-18T23:59:15.5970000Z,1694.0,1711.9,1681.0,1692.2,3258.1006209500006,4404,1694.5,1638.3,1675.3,1556.6,1506.4
2023-02-19T00:00:00.0000000Z,2023-02-20T00:00:00.0000000Z,2023-02-19T00:00:05.9570000Z,2023-02-19T23:59:17.2840000Z,1692.1,1726.7,1667.3,1682.7,5538.542557809999,5340,1692.2,1694.5,1638.3,1675.3,1556.6
2023-02-20T00:00:00.0000000Z,2023-02-21T00:00:00.0000000Z,2023-02-20T00:00:06.3560000Z,2023-02-20T23:59:49.9250000Z,1680.8,1719.5,1652.5,1703.9,3860.62169875,5040,1682.7,1692.2,1694.5,1638.3,1675.3
2023-02-21T00:00:00.0000000Z,2023-02-22T00:00:00.0000000Z,2023-02-21T00:00:11.1800000Z,2023-02-21T23:59:37.3040000Z,1703.7,1716.6,1638.4,1659.8,7455.34664498,6680,1703.9,1682.7,1692.2,1694.5,1638.3
2023-02-22T00:00:00.0000000Z,2023-02-23T00:00:00.0000000Z,2023-02-22T00:00:42.4300000Z,2023-02-22T23:59:55.8440000Z,1659.3,1667.4,1595.6,1643.5,10144.440549190002,7683,1659.8,1703.9,1682.7,1692.2,1694.5
2023-02-23T00:00:00.0000000Z,2023-02-24T00:00:00.0000000Z,2023-02-23T00:00:03.9930000Z,2023-02-23T23:59:11.5110000Z,1643.5,1678.5,1629.0,1650.7,7837.690487850001,8765,1643.5,1659.8,1703.9,1682.7,1692.2
2023-02-24T00:00:00.0000000Z,2023-02-25T00:00:00.0000000Z,2023-02-24T00:00:20.0900000Z,2023-02-24T23:59:31.9170000Z,1651.0,1664.0,1576.6,1607.8,18675.40520956,12157,1650.7,1643.5,1659.8,1703.9,1682.7
2023-02-25T00:00:00.0000000Z,2023-02-26T00:00:00.0000000Z,2023-02-25T00:00:01.3100000Z,2023-02-25T23:58:59.6310000Z,1607.4,1608.8,1558.4,1595.0,4786.81167516,5570,1607.8,1650.7,1643.5,1659.8,1703.9
2023-02-26T00:00:00.0000000Z,2023-02-27T00:00:00.0000000Z,2023-02-26T00:00:52.4410000Z,2023-02-26T23:59:48.1720000Z,1594.2,1651.0,1588.1,1642.0,5476.575985080001,5549,1595.0,1607.8,1650.7,1643.5,1659.8
2023-02-27T00:00:00.0000000Z,2023-02-28T00:00:00.0000000Z,2023-02-27T00:00:16.5660000Z,2023-02-27T23:59:28.8710000Z,1641.7,1664.6,1608.4,1634.3,9617.08845166,7051,1642.0,1595.0,1607.8,1650.7,1643.5
2023-02-28T00:00:00.0000000Z,2023-03-01T00:00:00.0000000Z,2023-02-28T00:00:16.1880000Z,2023-02-28T23:59:59.1310000Z,1634.0,1647.3,1597.5,1605.4,6019.807455730001,6467,1634.3,1642.0,1595.0,1607.8,1650.7
2023-03-01T00:00:00.0000000Z,2023-03-02T00:00:00.0000000Z,2023-03-01T00:00:09.1950000Z,2023-03-01T23:59:53.7590000Z,1605.8,1669.8,1595.7,1665.3,6666.272364109999,7259,1605.4,1634.3,1642.0,1595.0,1607.8
2023-03-02T00:00:00.0000000Z,2023-03-03T00:00:00.0000000Z,2023-03-02T00:00:00.6570000Z,2023-03-02T23:59:59.2210000Z,1665.2,1677.9,1620.0,1648.0,6772.501944189999,6376,1665.3,1605.4,1634.3,1642.0,1595.0
2023-03-04T00:00:00.0000000Z,2023-03-05T00:00:00.0000000Z,2023-03-04T00:00:00.7570000Z,2023-03-04T23:59:58.0870000Z,1569.6,1577.8,1549.7,1566.8,2829.6363636,4562,1648.0,1665.3,1605.4,1634.3,1642.0
2023-03-05T00:00:00.0000000Z,2023-03-06T00:00:00.0000000Z,2023-03-05T00:00:24.4740000Z,2023-03-05T23:59:20.0950000Z,1566.8,1587.9,1551.9,1564.6,4674.110978340001,5340,1566.8,1648.0,1665.3,1605.4,1634.3
2023-03-06T00:00:00.0000000Z,2023-03-07T00:00:00.0000000Z,2023-03-06T00:00:07.8690000Z,2023-03-06T23:59:59.1940000Z,1564.5,1582.6,1555.2,1565.8,8820.695733489996,6832,1564.6,1566.8,1648.0,1665.3,1605.4
2023-03-07T00:00:00.0000000Z,2023-03-08T00:00:00.0000000Z,2023-03-07T00:00:25.9500000Z,2023-03-07T23:59:41.6560000Z,1565.9,1583.9,1535.6,1561.5,11072.36946556,8668,1565.8,1564.6,1566.8,1648.0,1665.3
2023-03-08T00:00:00.0000000Z,2023-03-09T00:00:00.0000000Z,2023-03-08T00:00:16.9820000Z,2023-03-08T23:59:40.1030000Z,1562.2,1570.1,1523.3,1532.3,8328.18296847,6291,1561.5,1565.8,1564.6,1566.8,1648.0
2023-03-09T00:00:00.0000000Z,2023-03-10T00:00:00.0000000Z,2023-03-09T00:00:07.8440000Z,2023-03-09T23:59:28.3380000Z,1531.7,1545.8,1408.2,1437.7,22406.257831039995,11617,1532.3,1561.5,1565.8,1564.6,1566.8
2023-03-10T00:00:00.0000000Z,2023-03-11T00:00:00.0000000Z,2023-03-10T00:00:39.8300000Z,2023-03-10T23:59:53.9590000Z,1436.4,1438.8,1369.9,1431.5,36501.03808232,17329,1437.7,1532.3,1561.5,1565.8,1564.6
2023-03-11T00:00:00.0000000Z,2023-03-12T00:00:00.0000000Z,2023-03-11T00:01:24.2980000Z,2023-03-11T23:59:39.1160000Z,1431.5,1489.5,1416.8,1484.0,32606.55479406,16333,1431.5,1437.7,1532.3,1561.5,1565.8
2023-03-12T00:00:00.0000000Z,2023-03-13T00:00:00.0000000Z,2023-03-12T00:00:12.7740000Z,2023-03-12T23:59:11.7750000Z,1482.9,1609.1,1459.7,1591.4,20751.912920330004,14473,1484.0,1431.5,1437.7,1532.3,1561.5
2023-03-13T00:00:00.0000000Z,2023-03-14T00:00:00.0000000Z,2023-03-13T00:00:00.5200000Z,2023-03-13T23:59:56.3140000Z,1592.2,1700.2,1571.1,1679.9,39469.28235015999,26215,1591.4,1484.0,1431.5,1437.7,1532.3
2023-03-14T00:00:00.0000000Z,2023-03-15T00:00:00.0000000Z,2023-03-14T00:00:16.5530000Z,2023-03-14T23:59:52.0680000Z,1680.7,1784.1,1665.3,1704.6,31432.35116548,21363,1679.9,1591.4,1484.0,1431.5,1437.7
