id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price,volume_24h
,LINK,,,,11691889317.28749,,,,,,,,,,,,,,,,,,,,,18.322974233945022,550029443.1933137
,HBAR,,,,10094747238.79882,,,,,,,,,,,,,,,,,,,,,0.2638689394949177,461160254.099986
,DOT,,,,9438763723.236109,,,,,,,,,,,,,,,,,,,,,6.136615932565018,263399839.00683385
,LEO,,,,8465322354.0756035,,,,,,,,,,,,,,,,,,,,,9.158171839116498,729570.02703419
,BCH,,,,8209270250.754659,,,,,,,,,,,,,,,,,,,,,414.2930040271451,421502899.49724853
,BGB,,,,7665639124.32908,,,,,,,,,,,,,,,,,,,,,6.3880326036075665,651155919.7138842
,UNI,,,,7531718148.2963915,,,,,,,,,,,,,,,,,,,,,12.542034835485794,244846828.04858574
,LTC,,,,7191221101.681668,,,,,,,,,,,,,,,,,,,,,95.35725200547249,495166077.961118
,PEPE,,,,6882357664.63514,,,,,,,,,,,,,,,,,,,,,1.6359693124639373e-05,992774585.193334
,HYPE,,,,6420259042.608931,,,,,,,,,,,,,,,,,,,,,19.22646672889042,164119062.91365674
,USDe,,,,5782374548.997042,,,,,,,,,,,,,,,,,,,,,0.9989459703998196,80210908.97006515
,DAI,,,,5365370900.91694,,,,,,,,,,,,,,,,,,,,,0.9999978003902822,78109844.79131281
,NEAR,,,,5314322075.959653,,,,,,,,,,,,,,,,,,,,,4.524763878374697,259873854.77883804
,APT,,,,4720433194.417491,,,,,,,,,,,,,,,,,,,,,8.266891614225306,278528586.55899364
,ICP,,,,4551168329.128709,,,,,,,,,,,,,,,,,,,,,9.494414291258357,165096183.62741718
,AAVE,,,,3918429475.85369,,,,,,,,,,,,,,,,,,,,,260.46524738495873,389635724.1665491
,XMR,,,,3542505743.8437653,,,,,,,,,,,,,,,,,,,,,192.0396211758894,65015678.4542556
,MNT,,,,3537687119.1012216,,,,,,,,,,,,,,,,,,,,,1.0514141008309132,101202994.64304772
,ETC,,,,3530780299.8594694,,,,,,,,,,,,,,,,,,,,,23.486393684792727,194379877.85212165
,POL,,,,3516964528.345464,,,,,,,,,,,,,,,,,,,,,0.4179663550283343,145367448.0210513
,OM,,,,3471091329.6309147,,,,,,,,,,,,,,,,,,,,,3.6148786093663343,51370607.40984411
,CRO,,,,3431831350.566126,,,,,,,,,,,,,,,,,,,,,0.12915430109014045,23745269.24698366
,RENDER,,,,3373759648.3319564,,,,,,,,,,,,,,,,,,,,,6.5168523530485905,306920730.6661365
,VET,,,,3322084928.720823,,,,,,,,,,,,,,,,,,,,,0.041020969804289056,77114756.24071075
,TAO,,,,3272925286.582889,,,,,,,,,,,,,,,,,,,,,401.79579524948053,233310365.0563977
,FIL,,,,2942673847.2271757,,,,,,,,,,,,,,,,,,,,,4.738027136310925,205320929.05886677
,FET,,,,2868359239.3428984,,,,,,,,,,,,,,,,,,,,,1.1783299643942837,286859710.0148881
,ARB,,,,2838079245.9953585,,,,,,,,,,,,,,,,,,,,,0.67411015848673,308565294.97860295
,KAS,,,,2825920224.9021,,,,,,,,,,,,,,,,,,,,,0.11064670667015891,82459724.9594792
,ALGO,,,,2758767208.0346656,,,,,,,,,,,,,,,,,,,,,0.3297333005454422,194466522.57710308
,OKB,,,,2720853121.0687466,,,,,,,,,,,,,,,,,,,,,45.34755201781244,3102560.643972
,ENA,,,,2380027415.4054794,,,,,,,,,,,,,,,,,,,,,0.7847591683974791,520796547.8882748
,ATOM,,,,2369680348.6898775,,,,,,,,,,,,,,,,,,,,,6.0615835719759055,187949522.39435723
,OP,,,,2198233268.032094,,,,,,,,,,,,,,,,,,,,,1.6262501386111605,182128641.9426726
,TIA,,,,2161414026.559192,,,,,,,,,,,,,,,,,,,,,4.431535414930659,181759720.07332024
,STX,,,,2087773039.8907993,,,,,,,,,,,,,,,,,,,,,1.3838122296434485,105801031.12289745
,IMX,,,,1934736590.5567243,,,,,,,,,,,,,,,,,,,,,1.1253158883448249,55308738.56608646
,THETA,,,,1928398286.5101366,,,,,,,,,,,,,,,,,,,,,1.9283982865101366,39992811.87276701
,BONK,,,,1922656273.0615861,,,,,,,,,,,,,,,,,,,,,2.5195916605871206e-05,151577888.84096143
,S,,,,1908874564.0354137,,,,,,,,,,,,,,,,,,,,,0.662803668067852,6191758.15318921
,INJ,,,,1895781273.2430184,,,,,,,,,,,,,,,,,,,,,19.154929327377754,106714205.281762
,MOVE,,,,1784068346.8578463,,,,,,,,,,,,,,,,,,,,,0.7929192652701539,138826030.79106772
,PENGU,,,,1778819846.9502487,,,,,,,,,,,,,,,,,,,,,0.02829794206836212,329307560.8933277
,FDUSD,,,,1774564491.7616103,,,,,,,,,,,,,,,,,,,,,0.998555027268121,5332696748.393228
,GRT,,,,1764813027.2157297,,,,,,,,,,,,,,,,,,,,,0.18482559601146162,65241587.81239136
,WLD,,,,1701218874.5195794,,,,,,,,,,,,,,,,,,,,,1.9069325603333473,347929609.4776452
