time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,lag_1,lag_2,lag_3,lag_4,lag_5
2024-07-20T00:00:00.0000000Z,2024-07-21T00:00:00.0000000Z,2024-07-20T00:00:01.4560000Z,2024-07-20T23:59:05.9290000Z,66705,67617,66284,67155,1185.0757788000026,40253,66705.0,63964.0,64091.0,65081.0,64769.0
2024-07-21T00:00:00.0000000Z,2024-07-22T00:00:00.0000000Z,2024-07-21T00:00:09.7030000Z,2024-07-21T23:59:32.4940000Z,67164,68364,65836,68158,1823.5089866700027,48122,67155.0,66705.0,63964.0,64091.0,65081.0
2024-07-22T00:00:00.0000000Z,2024-07-23T00:00:00.0000000Z,2024-07-22T00:00:01.1210000Z,2024-07-22T23:59:58.8870000Z,68172,68486,66583,67562,2280.4492102599984,48709,68158.0,67155.0,66705.0,63964.0,64091.0
2024-07-23T00:00:00.0000000Z,2024-07-24T00:00:00.0000000Z,2024-07-23T00:00:03.1590000Z,2024-07-23T23:59:58.4240000Z,67561,67776,65452,65944,2281.9039638199856,40492,67562.0,68158.0,67155.0,66705.0,63964.0
2024-07-24T00:00:00.0000000Z,2024-07-25T00:00:00.0000000Z,2024-07-24T00:00:02.1270000Z,2024-07-24T23:59:59.5500000Z,65943,67112,65117,65376,1702.715965520004,36640,65944.0,67562.0,68158.0,67155.0,66705.0
2024-07-25T00:00:00.0000000Z,2024-07-26T00:00:00.0000000Z,2024-07-25T00:00:03.0320000Z,2024-07-25T23:59:56.8810000Z,65363,66135,63424,65796,1963.979619869998,31235,65376.0,65944.0,67562.0,68158.0,67155.0
2024-07-26T00:00:00.0000000Z,2024-07-27T00:00:00.0000000Z,2024-07-26T00:00:05.4430000Z,2024-07-26T23:59:59.0150000Z,65794,68214,65712,67914,1689.4220918699984,34053,65796.0,65376.0,65944.0,67562.0,68158.0
2024-07-27T00:00:00.0000000Z,2024-07-28T00:00:00.0000000Z,2024-07-27T00:00:23.2470000Z,2024-07-27T23:59:40.6910000Z,67952,69404,66637,67884,1790.8049510699989,30134,67914.0,65796.0,65376.0,65944.0,67562.0
2024-07-28T00:00:00.0000000Z,2024-07-29T00:00:00.0000000Z,2024-07-28T00:00:10.7020000Z,2024-07-28T23:59:30.9540000Z,67837,68298,67064,68264,840.4632627200001,15201,67884.0,67914.0,65796.0,65376.0,65944.0
2024-07-29T00:00:00.0000000Z,2024-07-30T00:00:00.0000000Z,2024-07-29T00:00:09.6760000Z,2024-07-29T23:59:42.2820000Z,68240,70016,66445,66780,2342.7432991300007,40804,68264.0,67884.0,67914.0,65796.0,65376.0
