time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2023-05-10T00:00:00.0000000Z,2023-05-11T00:00:00.0000000Z,2023-05-10T00:00:06.4330000Z,2023-05-10T23:59:54.8610000Z,27648,28328,26842,27618,2871.87104842,19417
2023-05-11T00:00:00.0000000Z,2023-05-12T00:00:00.0000000Z,2023-05-11T00:00:27.3380000Z,2023-05-11T23:59:50.5740000Z,27624,27640,26720,26991,2181.84488326,17947
2023-05-12T00:00:00.0000000Z,2023-05-13T00:00:00.0000000Z,2023-05-12T00:00:22.5550000Z,2023-05-12T23:59:14.3360000Z,26987,27093,25800,26811,4842.982461109998,23193
2023-05-13T00:00:00.0000000Z,2023-05-14T00:00:00.0000000Z,2023-05-13T00:00:56.7130000Z,2023-05-13T23:59:54.4890000Z,26816,27052,26710,26789,1292.6639832399994,10492
2023-05-14T00:00:00.0000000Z,2023-05-15T00:00:00.0000000Z,2023-05-14T00:01:42.5570000Z,2023-05-14T23:59:39.3280000Z,26805,27202,26598,26933,1186.9523867899998,10789
2023-05-15T00:00:00.0000000Z,2023-05-16T00:00:00.0000000Z,2023-05-15T00:00:22.8060000Z,2023-05-15T23:59:51.0410000Z,26933,27666,26736,27166,1805.12956433,15013
2023-05-16T00:00:00.0000000Z,2023-05-17T00:00:00.0000000Z,2023-05-16T00:00:01.2650000Z,2023-05-16T23:59:34.4450000Z,27166,27300,26868,27037,1730.3376337799994,13658
2023-05-17T00:00:00.0000000Z,2023-05-18T00:00:00.0000000Z,2023-05-17T00:00:28.1340000Z,2023-05-17T23:59:37.8220000Z,27037,27488,26550,27404,2287.9535126200003,19627
2023-05-18T00:00:00.0000000Z,2023-05-19T00:00:00.0000000Z,2023-05-18T00:00:15.6610000Z,2023-05-18T23:59:55.1740000Z,27413,27481,26374,26818,1753.82538813,17120
2023-05-19T00:00:00.0000000Z,2023-05-20T00:00:00.0000000Z,2023-05-19T00:00:45.8650000Z,2023-05-19T23:59:12.1470000Z,26824,27176,26651,26893,1296.6102255,13924
2023-05-20T00:00:00.0000000Z,2023-05-21T00:00:00.0000000Z,2023-05-20T00:00:13.5150000Z,2023-05-20T23:59:46.2440000Z,26889,27153,26840,27115,603.0193969200001,8272
2023-05-21T00:00:00.0000000Z,2023-05-22T00:00:00.0000000Z,2023-05-21T00:00:29.9580000Z,2023-05-21T23:59:57.9670000Z,27123,27277,26688,26750,680.8701023599998,8680
